Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.21566,..,..,..,..,..,..,..,..,..,31.05585,..,..,..,..,..,..,..,..,..,34.6,..,37,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.03774,..,..,..,..,..,..,..,..,..,25.4,..,..,..,..,..,..,..,..,..,27.9,..,38.4,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.71566,..,..,..,..,..,..,..,..,..,39.55584,..,..,..,..,..,..,..,..,..,43.1,..,53.24,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.1,..,..,..,..,..,..,..,..,..,6.9,..,..,..,..,..,..,..,..,..,13.1,..,13.1,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,3.9,..,..,..,..,..,..,..,..,..,5.3,..,6.5,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.18774,..,..,..,..,..,..,..,..,..,58.6,..,..,..,..,..,..,..,..,..,67,..,70.56256,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29,..,..,..,..,..,..,..,..,..,46.2,..,..,..,..,..,..,..,..,..,49,..,53.7,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..,..,..,..,..,..,..,..,6,..,..,..,..,..,..,..,..,..,9.5,..,10.8,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,2.3,..,..,..,..,..,..,..,..,..,3.5,..,6.4,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.95982,..,..,..,..,..,..,..,..,..,44.8,..,..,..,..,..,..,..,..,..,51.5,..,69.3,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Congo, Dem. Rep.",ZAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.33774,..,..,..,..,..,..,..,..,..,6.7,..,..,..,..,..,..,..,..,..,15.2,..,16.4,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.38774,..,..,..,..,..,..,..,..,..,20.9,..,..,..,..,..,..,..,..,..,37.1,..,41.6,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.5,..,..,..,..,..,..,..,..,..,51.4,..,..,..,..,..,..,..,..,..,58.9,..,55.8,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.89426,..,..,..,..,..,..,..,..,..,61.03323,..,..,..,..,..,..,..,..,..,65.1722,..,66,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.9,..,..,..,..,..,..,..,..,..,32.2,..,..,..,..,..,..,..,..,..,32.5,..,36.0768,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..,..,..,..,..,12.7,..,..,..,..,..,..,..,..,..,23,..,26.56256,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.98774,..,..,..,..,..,..,..,..,..,73.6,..,..,..,..,..,..,..,..,..,81.6,..,89.3,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.7,..,..,..,..,..,..,..,..,..,34.3,..,..,..,..,..,..,..,..,..,31,..,34.5268,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.6,..,..,..,..,..,..,..,..,..,45,..,..,..,..,..,..,..,..,..,60.5,..,64.06256,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.68774,..,..,..,..,..,..,..,..,..,16.4,..,..,..,..,..,..,..,..,..,20.2,..,26.2,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.65982,..,..,..,..,..,..,..,..,..,53.5,..,..,..,..,..,..,..,..,..,57,..,60.60672,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.9,..,..,..,..,..,..,..,..,..,14.5,..,..,..,..,..,..,..,..,..,23,..,23,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.387741,..,..,..,..,..,..,..,..,..,5,..,..,..,..,..,..,..,..,..,17,..,20.56256,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,0.5558459,..,..,..,..,..,..,..,..,..,4.1,..,9.8,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.2,..,..,..,..,..,..,..,..,..,11.39801,..,..,..,..,..,..,..,..,..,14.3,..,15.4,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.2,..,..,..,..,..,..,..,..,..,4.8,..,..,..,..,..,..,..,..,..,8.7,..,9.8,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mali,MLI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.03774,..,..,..,..,..,..,..,..,..,16.7,..,..,..,..,..,..,..,..,..,16.6,..,25.6,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mauritania,MRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.81566,..,..,..,..,..,..,..,..,..,14.65585,..,..,..,..,..,..,..,..,..,18.2,..,21.76256,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.55982,..,..,..,..,..,..,..,..,..,99.4,..,..,..,..,..,..,..,..,..,100,..,100,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.43774,..,..,..,..,..,..,..,..,..,7.1,..,..,..,..,..,..,..,..,..,15,..,20.2,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.4,..,..,..,..,..,..,..,..,..,36.5,..,..,..,..,..,..,..,..,..,43.7,..,47.26256,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Niger,NER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.2,..,..,..,..,..,..,..,..,..,6.7,..,..,..,..,..,..,..,..,..,9.3,..,14.4,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.83774,..,..,..,..,..,..,..,..,..,44.9,..,..,..,..,..,..,..,..,..,48,..,55.6,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Rwanda,RWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.3,..,..,..,..,..,..,..,..,..,6.2,..,..,..,..,..,..,..,..,..,10.8,..,18,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.28774,..,..,..,..,..,..,..,..,..,52.9,..,..,..,..,..,..,..,..,..,56.9,..,60.46256,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Senegal,SEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26,..,..,..,..,..,..,..,..,..,36.8,..,..,..,..,..,..,..,..,..,56.5,..,56.5,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.55982,..,..,..,..,..,..,..,..,..,99.4,..,..,..,..,..,..,..,..,..,100,..,100,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sierra Leone,SLE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.715664,..,..,..,..,..,..,..,..,..,8.555846,..,..,..,..,..,..,..,..,..,12.1,..,14.2,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.23787,..,..,..,..,..,..,..,..,..,25.9093,..,..,..,..,..,..,..,..,..,29.1,..,32.70795,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65,..,..,..,..,..,..,..,..,..,66.1,..,..,..,..,..,..,..,..,..,82.7,..,85.4,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,1.5,..,5.062558,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.61566,..,..,..,..,..,..,..,..,..,25.45585,..,..,..,..,..,..,..,..,..,29,..,32.56256,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Swaziland,SWZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.81566,..,..,..,..,..,..,..,..,..,31.65585,..,..,..,..,..,..,..,..,..,35.2,..,42,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tanzania,TZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.8,..,..,..,..,..,..,..,..,..,8.8,..,..,..,..,..,..,..,..,..,14.8,..,15.3,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Togo,TGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..,..,..,..,..,16.97,..,..,..,..,..,..,..,..,..,27.9,..,31.46256,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Uganda,UGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.8,..,..,..,..,..,..,..,..,..,8.6,..,..,..,..,..,..,..,..,..,14.6,..,18.16256,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Zambia,ZMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.33774,..,..,..,..,..,..,..,..,..,17.4,..,..,..,..,..,..,..,..,..,18.5,..,22.06256,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Zimbabwe,ZWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.1,..,..,..,..,..,..,..,..,..,34.2,..,..,..,..,..,..,..,..,..,36.9,..,40.46256,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,0.6,..,..,..,..,..,..,..,..,..,5.5,..,6,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7197855,..,..,..,..,..,..,..,..,..,5.5,..,..,..,..,..,..,..,..,..,8.5,..,14.5,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.26011,..,..,..,..,..,..,..,..,..,38.18066,..,..,..,..,..,..,..,..,..,42.9,..,23.87,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,0.2,..,..,..,..,..,..,..,..,..,1.4,..,1.4,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,0.9,..,..,..,..,..,..,..,..,..,1,..,1.2,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20,..,..,..,..,..,..,..,..,..,30.8,..,..,..,..,..,..,..,..,..,44,..,46.7546,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.7,..,..,..,..,..,..,..,..,..,10.9506,..,..,..,..,..,..,..,..,..,14,..,18.5,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,0.7,..,..,..,..,..,..,..,..,..,5.4,..,8.1546,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,0.3,..,3.0546,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.57946,..,..,..,..,..,..,..,..,..,32.5,..,..,..,..,..,..,..,..,..,41.8,..,61.4,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Congo, Dem. Rep.",ZAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,1.1,..,..,..,..,..,..,..,..,..,3,..,5.7546,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.369785,..,..,..,..,..,..,..,..,..,7.9,..,..,..,..,..,..,..,..,..,9.4,..,11.7,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.7,..,..,..,..,..,..,..,..,..,22.5,..,..,..,..,..,..,..,..,..,37,..,29,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.579184,..,..,..,..,..,..,..,..,..,11.3017,..,..,..,..,..,..,..,..,..,14.5,..,43,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.1,..,..,..,..,..,..,..,..,..,3,..,..,..,..,..,..,..,..,..,9.2,..,11.9546,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,0.4,..,..,..,..,..,..,..,..,..,4.8,..,7.5546,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.86979,..,..,..,..,..,..,..,..,..,29.7,..,..,..,..,..,..,..,..,..,34.6,..,44.9,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.27946,..,..,..,..,..,..,..,..,..,18.2,..,..,..,..,..,..,..,..,..,22.9,..,25.6546,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,..,..,..,..,..,..,..,..,..,20.9,..,..,..,..,..,..,..,..,..,38.2,..,40.9546,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,1.5,..,..,..,..,..,..,..,..,..,2.8,..,2.9,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.07946,..,..,..,..,..,..,..,..,..,14,..,..,..,..,..,..,..,..,..,18.7,..,21.4546,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.4,..,..,..,..,..,..,..,..,..,4.3,..,..,..,..,..,..,..,..,..,8.1,..,6.7,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,2.680655,..,..,..,..,..,..,..,..,..,7.4,..,10.1546,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,1,..,1.2,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9,..,..,..,..,..,..,..,..,..,6.6,..,..,..,..,..,..,..,..,..,9.4,..,8.1,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,3.5,..,2,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mali,MLI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,2.2,..,..,..,..,..,..,..,..,..,3.2,..,11.9,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mauritania,MRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,1.6,..,4.3546,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.97946,..,..,..,..,..,..,..,..,..,98.9,..,..,..,..,..,..,..,..,..,100,..,100,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,1.7,..,5.4,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.2,..,..,..,..,..,..,..,..,..,13.2,..,..,..,..,..,..,..,..,..,14.6,..,17.3546,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Niger,NER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,..,..,..,..,..,..,..,0.2,..,..,..,..,..,..,..,..,..,1.5,..,5.2,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.11979,..,..,..,..,..,..,..,..,..,27.9,..,..,..,..,..,..,..,..,..,34.9,..,34.4,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Rwanda,RWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,0.9,..,..,..,..,..,..,..,..,..,4,..,7.7,..,..,..,..
