Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,131.99308778984,133.84622350219,138.115436667946,138.400253667609,142.653329589085,144.484629923376,152.121570867434,157.508959769879,165.525209661909,165.04939408016,169.070662941168,177.432717999332,192.968465860698,231.120243197523,260.521411514181,301.362521697279,279.736453791582,293.706563723438,322.866943580142,407.097200223855,462.142857952103,400.163701163116,382.422239857448,371.110410169666,302.592339398898,286.32976227008,317.436873910451,242.877509176397,224.541473796912,222.930553219972,266.892255568947,222.985579204589,246.61484608782,266.599056341443,228.304975881491,234.892780134726,287.771408475533,247.450454076528,252.781780661428,243.566786035185,246.282634900529,278.987456987283,262.741813342439,317.422023148051,245.670457316682,275.515827096107,292.99089305874,379.067251975187,472.379100795325,417.178309192785,414.142787218657,456.329307134312,444.958493750152,462.973999137211,467.130334270816,411.816055713571,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,45.0339773199284,47.1834134863634,48.3875958016294,49.2804860512016,49.1343232288232,56.5356676815401,62.6243246910589,63.3064192433177,56.0921860186625,59.2714269853919,63.1052534181783,77.2707315142598,83.5638299169065,88.9162658837271,106.711547121324,115.854560702798,122.883416537588,143.265127230354,163.41579612454,176.776598077105,200.814032716596,195.609241500712,182.012977336376,183.682506555264,175.266064210546,157.009061967106,155.395890624477,145.90537059752,160.066476290779,175.265759148706,199.892081156233,229.434649473081,185.84577057227,213.520835444732,121.514401321822,142.266198542787,227.949656236923,259.564298852932,165.719340711292,163.189802198731,155.764358225033,149.367243169531,296.520260529465,265.429354514251,280.177358672995,286.785151128497,304.904164020676,328.405188697794,382.678036203531,432.068076584829,471.207752434354,525.651739290892,383.969459754717,340.879420492438,362.247486595025,381.370536197336,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,..,..,..,..,..,..,..,48.2798665275619,59.4675393431738,57.991815730636,60.4756622312624,71.1546802834416,79.1574664202335,90.1001285078997,84.5976204462757,128.151071299237,142.37593921403,156.399480370157,178.979316723971,229.333568548963,248.189021060414,212.74517480918,180.562338209717,172.063173959463,160.276395767863,177.759885689246,232.76017080173,258.95997637902,264.840640043899,262.152317154495,316.185856544262,314.10851569672,318.370093199994,308.634574433493,221.859916009675,280.730787185894,280.821086286341,265.254297214748,279.598693663936,320.351109356757,267.416434751446,304.612988736488,331.805201995002,389.077360722162,436.435805911435,484.810614299526,518.394429205184,592.016922455052,685.547791304224,692.842678257748,704.064620886671,829.849231276721,772.249921673187,798.318480769749,842.114337237737,744.346106077478,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,107.91477526747,121.969402085661,122.252539224727,121.576554211757,157.611204722198,174.095913296797,176.479287022008,181.720520392184,194.442511955905,178.925644223371,182.214984671331,191.937118788254,217.593221142545,266.168044205876,321.340883344004,358.185573235672,383.440036808362,384.077382753647,375.811509813375,432.026839679259,462.191763962048,473.838711172761,461.866522230106,471.773856395341,422.972174436741,386.672299086989,442.195453243588,487.746335498822,499.612526341526,498.524229905668,503.838713721786,693.820337719371,684.2155898361,567.588970952496,580.538457105875,606.391311663545,600.137712747139,566.171410735663,538.958965377169,534.512005392399,477.112988064267,463.271418495262,459.125545858864,525.45877431155,598.210547870149,692.575965398663,937.982701714899,1008.55470523732,1180.54951407934,1045.79040852269,1207.82745750371,1402.66912860389,1385.00468177818,1457.836387254,1370.98521248511,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,779.904213865664,897.669281574192,1092.27217510665,1280.39075428854,1176.49932968921,1170.04796511502,1091.09469628908,1093.00907934093,1032.31023744487,1058.90597775832,1428.53734119819,1822.97560499509,2054.63992417979,2084.26236101699,2506.18493271298,2669.32627924848,2973.20538541815,2973.79360834682,3197.33695772884,3599.55175136628,3899.44243452096,3646.637841694,3593.24156909307,3651.23107838133,3861.03854301929,3792.18757686008,3957.51290571479,4623.35178431117,5229.8735684377,5116.03964225907,5455.06563037963,6285.7890498112,7749.31843837522,7082.29570014421,7772.10005652754,8984.62976859867,9113.64064294,9479.86959015448,10002.8704750471,9116.82771519446,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,295.42123522067,288.845224673436,288.930967121379,253.607618633506,260.077454583005,340.245902720715,398.580920873224,179.103016855938,159.505331777674,175.551059560478,187.863817280026,237.886071954086,161.305115574947,162.076542863217,160.167927932159,158.469349222936,214.727326737584,250.536307997152,281.407675508347,298.329718886582,274.656255626148,253.66316458821,260.043672608778,280.87256827628,332.882911953182,365.596849919716,382.377958321832,418.912986355427,499.887085818156,461.425218697859,417.501231533203,524.89145294127,564.812463094317,605.234444722447,622.638064437746,525.008155116386,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2404.10074797789,2184.00316034598,2013.76150461951,2133.694745109,1763.05701282165,1405.78598355311,1520.56914031615,1852.50406485041,1922.41031529295,1871.79332097032,1981.25191623998,2054.86339615997,2278.0946801787,2063.81351506942,2264.65474214466,2383.29394245793,2313.50930302563,2333.57358531302,2114.1971084664,2056.1639609711,2059.40901467159,1836.75532074034,1716.89588284213,2489.89394622456,3298.90165049057,3582.25982034766,3884.64683374719,4195.93639333527,4011.30116888467,4123.93999729686,5143.13067579247,5539.61515966925,5679.82912868023,5420.81169032783,5342.94446039872,4695.76514977115,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,132.400236735014,139.04861059634,147.843707379898,158.322902006611,152.897426032285,171.712253359582,174.171503929035,160.605368909595,150.575795651436,143.028175964548,144.510856087602,150.02283185382,156.274189069842,193.63441496028,204.135542298766,202.801208722789,200.064613524691,235.830800327873,314.829678856235,363.75736957462,420.670439241207,354.156232816427,320.289309191057,278.558263444086,219.666140042445,210.667715678797,270.788539110472,308.704176210677,306.261230395707,284.122136689161,313.537623244108,284.983905397461,277.765452697823,183.977296740335,172.938600072337,200.899491651451,204.888292968711,183.478173533121,199.0612129469,186.499654580019,160.218342317408,167.091230076581,179.735270494087,218.047122969618,234.910427865702,252.504615486699,260.563770008326,295.393198719939,358.191405530453,344.375641110111,351.006218346786,378.200546574048,393.64342304494,417.670309304738,431.381682137856,358.958152040005,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,92.8118675253452,96.811563813563,104.194016425702,107.329219376448,112.933730562327,116.93053023763,124.02107987069,99.1666755249422,96.9582950390189,120.931169162556,223.506804497966,159.811543519598,208.644536881305,251.517912407969,401.678582529331,437.012086706041,554.95279575096,534.44827942633,525.488257710168,659.877537535082,871.145817968016,806.507839586014,661.232376300454,444.649092091558,348.526325995853,344.141083749821,240.617396617304,272.507731472812,256.375841257804,260.047569976104,321.66837089409,279.275782314458,291.283484505327,153.075665487639,171.024798212773,263.288037874514,314.739902120504,314.29984936351,273.86979724431,299.356765948378,377.500269346768,350.260182193982,457.397047553578,510.296295281735,645.763871178843,804.005995170227,1014.73474161771,1131.14769462527,1376.85744878293,1091.96852722446,2314.96353665347,2514.14862151929,2739.85218903906,2979.84415000393,3203.24429573261,2640.2907388575,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,40.5669361534507,40.7197298486595,40.9756021856057,41.2508282805366,41.1168715910554,46.0262541920242,37.5181723658923,46.6780011542419,48.8197689345838,51.8322539358857,58.5690004117409,57.6351136944406,61.8664571978473,70.8733164451594,72.9761939173931,131.186447822471,141.731897996568,160.636696803659,188.517565954002,223.270113329354,244.080505034456,264.788650139655,256.495184686847,261.002305795786,270.080470771312,280.424300581804,303.358891226286,319.980402771457,339.879001732766,332.22687688816,351.277827103616,270.32866538358,302.256804443381,312.922808215452,125.69012748936,218.770301189497,226.698197646079,284.587245318524,282.288664637388,239.63360901592,216.275894383596,201.064041934249,196.444701506894,212.512051945623,236.629214231627,286.567469436844,336.942281040072,398.208485880314,491.940416607734,529.59655617758,553.597457610684,606.902886399677,667.414582334439,678.998166944053,697.626501273706,697.34822808289,..
